NAME,SUBSCRIPTION,LOCATION,RESOURCE LINK
"NetworkWatcherRG","Simplilearn HOL 100457","West US 2","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/NetworkWatcherRG"
"ODL-az-2327373","Simplilearn HOL 100457","East US","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373"
